车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0541,02有排行无提醒,1,28,628.5,1416.64,50.59
皖AT0580,02有排行无提醒,1,28,146.95,331.23,11.83
粤BL05M1,02有排行无提醒,19,10,111.03,250.26,475.5
皖AT0613,02有排行无提醒,19,10,35.04,78.98,150.06
粤JCL629,02有排行无提醒,18,11,16.28,36.7,60.05
皖AT0576,02有排行无提醒,23,6,2.01,4.53,17.37
皖AT0620,02有排行无提醒,19,10,53.37,120.3,228.56
皖AT0601,02有排行无提醒,20,9,167.37,377.25,838.34
皖AT0657,02有排行无提醒,1,28,608.93,1372.53,49.02
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,21,8,131.8,297.08,779.83
皖AT0543,02有排行无提醒,29,0,0,0,966.86
闽C88DN2,02有排行无提醒,29,0,0,0,101.79
粤B3Q03K,02有排行无提醒,7,20,45.71,103.03,36.06
1.22E+16,02有排行无提醒,29,0,0,0,53.65
皖AYY059,02有排行无提醒,29,0,0,0,228.52
粤B9XN26,02有排行无提醒,28,1,5.48,12.35,345.85
粤SL3H57,02有排行无提醒,29,0,0,0,130.5
粤B7U0H5,02有排行无提醒,29,0,0,0,112.81
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,3,28,917.16,2067.28,221.49
皖AT0601,02有排行无提醒,10,21,576.58,1299.61,618.86
皖AT0657,02有排行无提醒,0,31,1370.64,3089.42,0
皖AT0541,02有排行无提醒,0,31,1221.15,2752.47,0
皖AT0580,02有排行无提醒,0,31,154.32,347.84,0
皖AT0576,02有排行无提醒,5,26,717.58,1617.43,311.04
粤B3Q03K,02有排行无提醒,1,30,110.12,248.21,8.27
粤BL05M1,02有排行无提醒,23,8,73.31,165.24,475.07
皖AT0613,02有排行无提醒,15,16,397.64,896.28,840.26
皖AT0620,02有排行无提醒,2,29,576.39,1299.18,89.6
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
粤JCL629,02有排行无提醒,5,26,30.14,67.94,13.06
1.22E+16,02有排行无提醒,31,0,0,0,57.35
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B9XN26,02有排行无提醒,5,26,213.79,481.88,92.67
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0541,02有排行无提醒,0,30,1594.83,3594.75,0
皖AT0575,02有排行无提醒,6,24,1268.97,2860.26,715.06
皖AT0601,02有排行无提醒,0,30,1077.42,2428.5,0
皖AT0576,02有排行无提醒,0,30,1092.75,2463.06,0
皖AT0580,02有排行无提醒,7,23,265.99,599.54,182.47
皖AT0620,02有排行无提醒,0,30,787.33,1774.64,0
皖AT0657,02有排行无提醒,0,30,1138.86,2566.99,0
粤B3Q03K,02有排行无提醒,0,30,92.43,208.34,0
粤JCL629,02有排行无提醒,6,24,30.18,68.03,17.01
皖AT0641,02有排行无提醒,0,0,0,0,0
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AYY059,02有排行无提醒,30,0,0,0,236.4
1.22E+16,02有排行无提醒,30,0,0,0,55.5
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤B9XN26,02有排行无提醒,7,23,259.26,584.37,177.85
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
皖AT0613,02有排行无提醒,30,0,0,0,2387.1
粤BL05M1,02有排行无提醒,17,13,33.8,76.19,99.63
皖AT0601,02有排行无提醒,0,31,1247.22,2811.23,0
皖AT0541,02有排行无提醒,0,31,1854.03,4178.98,0
皖AT0657,02有排行无提醒,0,31,1230.5,2773.55,0
皖AT0576,02有排行无提醒,1,30,1034.1,2330.86,77.7
皖AT0620,02有排行无提醒,0,31,1002.63,2259.93,0
粤B9XN26,02有排行无提醒,5,26,283.74,639.55,122.99
粤B3Q03K,02有排行无提醒,1,30,101.15,227.99,7.6
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤JCL629,02有排行无提醒,18,13,23.48,52.92,73.28
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,31,0,0,0,3261.51
1.22E+16,02有排行无提醒,31,0,0,0,57.35
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
皖AT0580,02有排行无提醒,31,0,0,0,787.09
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤BL05M1,02有排行无提醒,16,15,96.39,217.26,231.75
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0613,02有排行无提醒,14,17,674.72,1520.82,1252.44
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
皖AT0601,02有排行无提醒,0,30,1222.4,2755.29,0
皖AT0541,02有排行无提醒,0,30,1193.62,2690.42,0
皖AT0576,02有排行无提醒,15,15,564.06,1271.39,1271.39
皖AT0657,02有排行无提醒,0,30,1100.49,2480.5,0
皖AT0620,02有排行无提醒,0,30,1119.33,2522.97,0
粤B9XN26,02有排行无提醒,3,27,306.88,691.71,76.86
粤JCL629,02有排行无提醒,7,23,47.47,107,32.56
粤B3Q03K,02有排行无提醒,0,30,117.29,264.37,0
粤BL05M1,02有排行无提醒,26,4,10.26,23.13,150.32
1.22E+16,02有排行无提醒,30,0,0,0,55.5
皖AT0575,02有排行无提醒,30,0,0,0,3156.3
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0580,02有排行无提醒,30,0,0,0,761.7
皖AYY059,02有排行无提醒,30,0,0,0,236.4
皖AT0613,02有排行无提醒,1,29,1137.56,2564.06,88.42
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0657,02有排行无提醒,0,15,617.32,1391.44,0
皖AT0613,02有排行无提醒,0,15,631.9,1424.3,0
皖AT0541,02有排行无提醒,0,15,625.97,1410.94,0
皖AT0620,02有排行无提醒,0,15,524.23,1181.61,0
皖AT0601,02有排行无提醒,0,15,627.24,1413.8,0
粤B9XN26,02有排行无提醒,2,13,140.06,315.7,48.57
粤JCL629,02有排行无提醒,4,11,25.59,57.68,20.97
粤BL05M1,02有排行无提醒,2,13,29.74,67.03,10.31
皖AT0580,02有排行无提醒,15,0,0,0,380.85
闽C88DN2,02有排行无提醒,15,0,0,0,52.65
皖AT0575,02有排行无提醒,15,0,0,0,1578.15
皖AT0641,02有排行无提醒,0,0,0,0,0
粤B3Q03K,02有排行无提醒,15,0,0,0,295.95
1.22E+16,02有排行无提醒,15,0,0,0,27.75
皖AYY059,02有排行无提醒,15,0,0,0,118.2
皖AT0543,02有排行无提醒,15,0,0,0,500.1
皖AT0576,02有排行无提醒,15,0,0,0,1302
粤SL3H57,02有排行无提醒,15,0,0,0,67.5
粤B7U0H5,02有排行无提醒,15,0,0,0,58.35
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0657,02有排行无提醒,23,8,434.7,979.81,2816.96
皖AT0601,02有排行无提醒,0,31,1564.82,3527.1,0
皖AT0620,02有排行无提醒,0,31,880.25,1984.08,0
皖AT0613,02有排行无提醒,0,31,980.36,2209.73,0
皖AT0541,02有排行无提醒,0,31,1360.72,3067.06,0
粤BL05M1,02有排行无提醒,9,21,88.35,199.14,85.35
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
皖AT0580,02有排行无提醒,31,0,0,0,787.09
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,31,0,0,0,3261.51
粤JCL629,02有排行无提醒,31,0,0,0,254.51
粤B3Q03K,02有排行无提醒,31,0,0,0,611.63
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B9XN26,02有排行无提醒,31,0,0,0,681.38
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
皖AT0576,02有排行无提醒,31,0,0,0,2690.8
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0601,02有排行无提醒,8,22,879.55,1982.51,720.91
皖AT0613,02有排行无提醒,0,30,887.13,1999.59,0
皖AT0541,02有排行无提醒,7,23,866.94,1954.08,594.72
皖AT0620,02有排行无提醒,3,27,624.99,1408.73,156.53
粤BL05M1,02有排行无提醒,12,18,78.43,176.78,117.85
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0580,02有排行无提醒,30,0,0,0,761.7
皖AT0657,02有排行无提醒,30,0,0,0,2942.7
皖AT0575,02有排行无提醒,30,0,0,0,3156.3
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤JCL629,02有排行无提醒,30,0,0,0,246.3
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
粤B3Q03K,02有排行无提醒,30,0,0,0,591.9
皖AYY059,02有排行无提醒,30,0,0,0,236.4
粤B9XN26,02有排行无提醒,30,0,0,0,659.4
皖AT0576,02有排行无提醒,30,0,0,0,2604
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
粤BN8G52,02有排行无提醒,0,0,0,0,0
