车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
1.22E+16,03无排行有提醒,31,0,0,0,18.29
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤BY1047,03无排行有提醒,31,0,0,0,83.7
皖AT0621,03无排行有提醒,26,3,10.48,23.62,204.72
皖AT0589,03无排行有提醒,21,8,86.92,195.92,514.28
粤BS207S,03无排行有提醒,21,8,5.88,13.25,34.79
皖AT0591,03无排行有提醒,8,21,428.87,966.67,368.26
皖AT0549,03无排行有提醒,13,15,263.72,594.42,515.17
皖AT0579,03无排行有提醒,13,16,214.12,482.63,392.13
皖AT0539,03无排行有提醒,29,0,0,0,3200.73
皖AT0632,03无排行有提醒,29,0,0,0,4094.51
皖AT0631,03无排行有提醒,25,4,22.64,51.03,318.94
皖AT0596,03无排行有提醒,16,13,105.69,238.23,293.2
皖AT0563,03无排行有提醒,28,1,0.61,1.37,38.5
粤B2X562,03无排行有提醒,29,0,0,0,194.01
粤B533CJ,03无排行有提醒,29,0,0,0,143.26
粤B3AU48,03无排行有提醒,29,0,0,0,107.59
1.22E+16,03无排行有提醒,29,0,0,0,17.11
皖AT0633,03无排行有提醒,29,0,0,0,3211.46
渝D865V3,03无排行有提醒,29,0,0,0,293.48
粤B892VK,03无排行有提醒,29,0,0,0,175.16
粤STC809,03无排行有提醒,29,0,0,0,1086.05
粤BY1047,03无排行有提醒,29,0,0,0,78.3
皖AT0549,03无排行有提醒,0,31,1324.15,2984.63,0
皖AT0579,03无排行有提醒,0,31,679.34,1531.23,0
皖AT0591,03无排行有提醒,1,30,1138.96,2567.22,85.57
皖AT0589,03无排行有提醒,0,31,1056.22,2380.72,0
皖AT0596,03无排行有提醒,0,31,747.69,1685.29,0
渝D865V3,03无排行有提醒,31,0,0,0,313.72
皖AT0632,03无排行有提醒,18,13,681.21,1535.45,2126
皖AT0631,03无排行有提醒,4,27,472.42,1064.83,157.75
皖AT0539,03无排行有提醒,31,0,0,0,3421.47
皖AT0621,03无排行有提醒,17,14,187.97,423.68,514.47
皖AT0563,03无排行有提醒,11,20,450.99,1016.53,559.09
粤B2X562,03无排行有提醒,31,0,0,0,207.39
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
1.22E+16,03无排行有提醒,31,0,0,0,18.29
皖AT0633,03无排行有提醒,31,0,0,0,3432.94
粤BS207S,03无排行有提醒,31,0,0,0,315.89
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤STC809,03无排行有提醒,7,24,258.41,582.46,169.88
粤BY1047,03无排行有提醒,31,0,0,0,83.7
皖AT0589,03无排行有提醒,0,30,1038.28,2340.28,0
皖AT0549,03无排行有提醒,0,30,1633.67,3682.29,0
皖AT0591,03无排行有提醒,0,30,1524.58,3436.4,0
皖AT0632,03无排行有提醒,5,25,1400.04,3155.69,631.14
皖AT0621,03无排行有提醒,2,28,800.39,1804.08,128.86
皖AT0631,03无排行有提醒,0,30,842.22,1898.36,0
皖AT0579,03无排行有提醒,0,30,1201.69,2708.61,0
皖AT0596,03无排行有提醒,0,30,1042.66,2350.16,0
粤STC809,03无排行有提醒,0,30,455.82,1027.42,0
1.22E+16,03无排行有提醒,30,0,0,0,17.7
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BY1047,03无排行有提醒,30,0,0,0,81
皖AT0563,03无排行有提醒,4,26,789.33,1779.15,273.72
粤B2X562,03无排行有提醒,30,0,0,0,200.7
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
渝D865V3,03无排行有提醒,30,0,0,0,303.6
皖AT0632,03无排行有提醒,0,31,2065.55,4655.75,0
皖AT0549,03无排行有提醒,0,31,1832.41,4130.25,0
皖AT0591,03无排行有提醒,0,31,1512.59,3409.38,0
皖AT0579,03无排行有提醒,0,31,1542.65,3477.13,0
皖AT0589,03无排行有提醒,2,29,875.89,1974.26,136.16
皖AT0631,03无排行有提醒,2,29,981.73,2212.82,152.61
皖AT0596,03无排行有提醒,0,31,1065.51,2401.66,0
皖AT0563,03无排行有提醒,1,30,740.53,1669.15,55.64
皖AT0621,03无排行有提醒,0,31,1166.29,2628.82,0
粤STC809,03无排行有提醒,0,31,642.05,1447.18,0
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
1.22E+16,03无排行有提醒,31,0,0,0,18.29
皖AT0539,03无排行有提醒,31,0,0,0,3421.47
粤BS207S,03无排行有提醒,31,0,0,0,315.89
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤BY1047,03无排行有提醒,31,0,0,0,83.7
皖AT0633,03无排行有提醒,31,0,0,0,3432.94
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
渝D865V3,03无排行有提醒,31,0,0,0,313.72
粤B2X562,03无排行有提醒,31,0,0,0,207.39
皖AT0549,03无排行有提醒,2,28,1603.92,3615.24,258.23
皖AT0632,03无排行有提醒,2,28,1782.75,4018.32,287.02
皖AT0621,03无排行有提醒,1,29,1169.67,2636.44,90.91
皖AT0591,03无排行有提醒,0,30,1521.18,3428.74,0
皖AT0631,03无排行有提醒,0,30,1010.88,2278.52,0
皖AT0596,03无排行有提醒,0,30,1024.9,2310.12,0
皖AT0579,03无排行有提醒,15,15,728.67,1642.42,1642.42
皖AT0563,03无排行有提醒,7,23,745.95,1681.37,511.72
粤STC809,03无排行有提醒,0,30,683,1539.48,0
1.22E+16,03无排行有提醒,30,0,0,0,17.7
皖AT0589,03无排行有提醒,30,0,0,0,2463.3
粤B2X562,03无排行有提醒,30,0,0,0,200.7
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤BY1047,03无排行有提醒,30,0,0,0,81
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
渝D865V3,03无排行有提醒,30,0,0,0,303.6
皖AT0632,03无排行有提醒,0,15,958.17,2159.72,0
皖AT0596,03无排行有提醒,0,15,587.7,1324.68,0
皖AT0591,03无排行有提醒,0,15,744.49,1678.08,0
皖AT0563,03无排行有提醒,1,14,475.37,1071.48,76.53
皖AT0631,03无排行有提醒,0,15,545.95,1230.57,0
皖AT0621,03无排行有提醒,0,15,652.12,1469.88,0
粤STC809,03无排行有提醒,0,15,306.03,689.79,0
皖AT0579,03无排行有提醒,15,0,0,0,1281
皖AT0589,03无排行有提醒,15,0,0,0,1231.65
渝D865V3,03无排行有提醒,15,0,0,0,151.8
皖AT0539,03无排行有提醒,15,0,0,0,1655.55
粤B2X562,03无排行有提醒,15,0,0,0,100.35
粤B533CJ,03无排行有提醒,15,0,0,0,74.1
粤B3AU48,03无排行有提醒,15,0,0,0,55.65
1.22E+16,03无排行有提醒,15,0,0,0,8.85
粤BY1047,03无排行有提醒,15,0,0,0,40.5
皖AT0549,03无排行有提醒,15,0,0,0,1831.2
皖AT0633,03无排行有提醒,15,0,0,0,1661.1
粤BS207S,03无排行有提醒,15,0,0,0,152.85
粤B892VK,03无排行有提醒,15,0,0,0,90.6
皖AT0596,03无排行有提醒,0,31,1386.45,3125.06,0
皖AT0591,03无排行有提醒,0,31,1607.49,3623.28,0
皖AT0631,03无排行有提醒,0,31,1113.47,2509.76,0
皖AT0632,03无排行有提醒,0,31,1371.28,3090.87,0
皖AT0621,03无排行有提醒,2,29,1497.83,3376.11,232.84
粤STC809,03无排行有提醒,30,1,19.89,44.83,1344.96
渝D865V3,03无排行有提醒,31,0,0,0,309.38
皖AT0579,03无排行有提醒,31,0,0,0,2647.4
皖AT0589,03无排行有提醒,31,0,0,0,2545.41
皖AT0539,03无排行有提醒,31,0,0,0,3421.47
皖AT0563,03无排行有提醒,2,29,819.92,1848.1,127.46
皖AT0549,03无排行有提醒,31,0,0,0,3784.48
粤B2X562,03无排行有提醒,31,0,0,0,207.39
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
皖AT0633,03无排行有提醒,31,0,0,0,3432.94
粤BS207S,03无排行有提醒,31,0,0,0,315.89
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤BY1047,03无排行有提醒,31,0,0,0,83.7
皖AT0621,03无排行有提醒,0,30,1398.48,3152.17,0
皖AT0591,03无排行有提醒,0,30,1693.72,3817.64,0
皖AT0631,03无排行有提醒,1,29,1055.09,2378.17,82.01
皖AT0596,03无排行有提醒,0,30,1229.11,2770.41,0
皖AT0563,03无排行有提醒,0,30,758.99,1710.76,0
皖AT0632,03无排行有提醒,0,30,1202.65,2710.77,0
皖AT0549,03无排行有提醒,30,0,0,0,3662.4
渝D865V3,03无排行有提醒,30,0,0,0,299.4
皖AT0589,03无排行有提醒,30,0,0,0,2463.3
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
皖AT0579,03无排行有提醒,30,0,0,0,2562
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤B2X562,03无排行有提醒,30,0,0,0,200.7
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
粤STC809,03无排行有提醒,30,0,0,0,1146
粤BY1047,03无排行有提醒,30,0,0,0,81
